Дата,Тема заняття
2020-09-05,Інструктаж з БЖ. Фізика – наука про природу. Фізичні тіла та фізичні явища. 
2020-09-12,Будова речовини. Молекули. Атоми. Фізичні величини. Вимірювання фізичних величин. 
2020-09-19,Інструктаж з БЖ. Лабораторна робота № 1. «Визначення ціни поділки шкали вимірювального приладу». Похибки. Оцінювання точності вимірювання. 
2020-09-26,"Інструктаж з БЖ. Лабораторна робота № 2. «Вимірювання об’ємів твердих тіл, рідин і сипких матеріалів». Наукові методи вивчення природи. Внесок українських вчених в розвиток фізики. "
2020-10-03,"Інструктаж з БЖ. Лабораторна робота № 3. «Вимірювання розмірів малих тіл». Узагальнення розділу 1 «Фізика, як природнича наука» "
2020-10-10,Механічний рух. Відносність руху. Система відліку. Матеріальна точка. Траєкторія руху. Шлях. Переміщення. 
2020-10-17,Рівномірний рух. Швидкість руху. Розв’язування задач. 
2020-10-31,Графіки рівномірного руху. Нерівномірний рух. Середня швидкість нерівномірного руху. 
2020-11-07,Розв’язування задач. Рівномірний рух матеріальної точки по колу. Період обертання. 
2020-11-14,Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 4. «Вимірювання періоду обертання та обертової частоти». 
2020-11-21,"Розв’язування задач. Коливальний рух. Амплітуда, період та частота коливань "
2020-11-28,Розв’язування задач. Інструктаж з БЖ. Лабораторна робота № 5. «Дослідження коливань нитяного маятника». 
2020-12-05,Розв’язування задач. Розв’язування задач. Підготовка до к.р. 
2020-12-12,Контрольна робота. Захист навчальних проектів 
2020-12-19,Захист навчальних проектів Узагальнення розділу 2 «Механічний рух» 
2021-01-16,Явище інерції. Інертність тіла. Маса. 
2021-01-23,Інструктаж з БЖ. Лабораторна робота № 6. «Вимірювання мас тіл способом зважування». Густина. Одиниці густини. 
2021-01-30,Інструктаж з БЖ. Лабораторна робота № 7. «Визначення густин твердого тіла та рідини». Учимося розв’язувати задачі. 
2021-02-06,Сила – міра взаємодії. Графічне зображення сил. Додавання сил. Деформація тіла. Сила пружності. Закон Гука. 
2021-02-13,Інструктаж з БЖ. Лабораторна робота № 8. «Дослідження пружних властивостей тіл». Сила тяжіння. Вага тіла. Невагомість. 
2021-02-20,Тертя. Сила тертя. Інструктаж з БЖ. Лабораторна робота № 9. «Визначення коефіцієнта тертя ковзання». 
2021-02-27,Розв’язування задач Підготовка до к.р. 
2021-03-06,Контрольна робота. Тиск твердих тіл на поверхню. Сила тиску. 
2021-03-13,Тиск газів і рідин. Закон Паскаля. Гідростатичний тиск. 
2021-03-27,Атмосферний тиск і його вимірювання. Барометри. Сполучені посудини. Манометри. 
2021-04-03,Виштовхувальна сила в рідинах і газах. Закон Архімеда. Умови плавання тіл. 
2021-04-10,Інструктаж з БЖ. Лабораторна робота № 10. «З’ясування умов плавання тіл». Судноплавство та повітроплавання 
2021-04-17,Розв’язування задач Контрольна робота. 
2021-04-24,Механічна робота. Одиниця роботи. Потужність. 
2021-05-01,Механічна енергія. Потенціальна і кінетична енергія тіла. Закон збереження і перетворення механічної енергії. 
2021-05-08,Момент сили. Умова рівноваги важеля. Інструктаж з БЖ. Лабораторна робота № 11. «З’ясування умови рівноваги важеля». 
2021-05-15,Рухомий і нерухомий блоки. Прості механізми. Коефіцієнт корисної дії механізмів. 
2021-05-22,Інструктаж з БЖ. Лабораторна робота № 12. «Визначення ККД похилої площини». Розв’язування задач 
2021-05-29,Підготовка до к.р. Контрольна робота. 
